Sig Name,Drive F,Frame 123421,
Format,Mag,Scaling,EU

Hz,V
       4.001944,      0.1668487
       4.003906,       0.166734
       4.005859,      0.1664557
       4.007813,      0.1663627
       4.009766,      0.1662595
       4.011719,      0.1661147
       4.013672,      0.1660464
       4.015625,      0.1657371
       4.017578,      0.1656621
       4.019531,      0.1654648
       4.021484,      0.1652606
       4.023438,      0.1651639
       4.025391,      0.1648257
       4.027344,      0.1647791
       4.029297,      0.1645983
        4.03125,      0.1644558
       4.033203,      0.1642345
       4.035156,      0.1641942
       4.037109,      0.1639158
       4.039063,      0.1638318
       4.041016,      0.1636609
       4.042969,      0.1635348
       4.044922,      0.1632809
       4.046875,      0.1631941
       4.048828,      0.1630923
       4.050781,      0.1625528
       4.052734,       0.162656
       4.054688,      0.1623001
       4.056631,      0.1621686
       4.058584,      0.1619678
       4.060537,      0.1618811
        4.06249,      0.1615953
       4.064444,      0.1615111
       4.066397,      0.1613209
        4.06835,       0.161154
       4.070303,      0.1610132
       4.072256,      0.1606865
       4.074209,      0.1607722
       4.076162,      0.1605084
       4.078115,      0.1604079
       4.080088,      0.1602121
       4.082041,      0.1601072
       4.083994,      0.1599009
       4.085948,      0.1597233
       4.087901,       0.159554
       4.089854,       0.159598
       4.091807,      0.1592422
        4.09376,       0.159049
       4.095713,      0.1591149
       4.097666,      0.1587682
       4.099619,      0.1587881
       4.101573,      0.1583863
       4.103526,      0.1581373
       4.105479,      0.1580111
       4.107432,      0.1578706
       4.109385,      0.1577739
       4.111328,      0.1576307
       4.113281,      0.1574959
       4.115234,      0.1574194
       4.117188,      0.1570812
       4.119141,      0.1570355
       4.121094,      0.1568836
       4.123047,      0.1565589
          4.125,      0.1565532
       4.126953,      0.1561003
       4.128906,      0.1561815
       4.130859,      0.1557274
       4.132813,      0.1556403
       4.134766,      0.1555707
       4.136719,      0.1552699
       4.138672,      0.1553263
       4.140625,       0.155024
       4.142578,      0.1549802
       4.144531,       0.154793
       4.146484,      0.1546346
       4.148438,      0.1544043
       4.150391,       0.154397
       4.152344,      0.1542364
       4.154297,      0.1538419
        4.15625,      0.1541434
       4.158223,      0.1537958
       4.160176,      0.1536887
       4.162129,      0.1537035
       4.164082,      0.1533564
       4.166035,      0.1533498
       4.167979,      0.1530341
       4.169932,      0.1528034
       4.171885,      0.1530726
       4.173838,      0.1525279
       4.175791,      0.1523991
       4.177744,      0.1524946
       4.179698,      0.1519246
       4.181651,      0.1521644
       4.183604,      0.1517659
       4.185557,      0.1515689
        4.18751,      0.1518095
       4.189463,      0.1510382
       4.191416,      0.1513198
       4.193369,      0.1510926
       4.195323,      0.1506858
       4.197276,      0.1510424
       4.199229,      0.1504797
       4.201182,      0.1503671
       4.203135,       0.150502
       4.205088,        0.14997
       4.207041,      0.1501302
       4.208994,      0.1499586
       4.210948,      0.1495894
       4.212901,      0.1497892
       4.214854,      0.1494166
       4.216807,      0.1491057
        4.21876,      0.1493213
       4.220713,      0.1488086
       4.222666,      0.1487049
       4.224629,      0.1487096
       4.226582,      0.1483555
       4.228535,      0.1484019
