Group Signal ,Sx,Frame 61983,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
              4,     0.09442011,              0,       190.7706,      -109.7917
       4.001963,     0.09987584,              0,       179.1833,       -105.731
       4.003916,      0.1003548,              0,       196.8535,      -105.4766
       4.005869,      0.0997586,              0,       179.8263,      -107.0768
       4.007822,      0.1003776,              0,       197.9751,      -104.3589
       4.009775,      0.0997664,              0,       180.4808,      -107.7665
       4.011728,      0.1002634,              0,       196.0707,      -105.6804
       4.013681,     0.09992964,              0,       184.6381,      -106.3525
       4.015635,      0.1003267,              0,       197.4748,      -106.1394
       4.017588,     0.09995207,              0,       186.4983,      -105.7297
       4.019541,      0.1001074,              0,       194.9763,       -107.029
       4.021494,       0.100056,              0,       191.1383,      -104.9065
       4.023447,      0.1000394,              0,       192.8924,      -106.9449
         4.0254,      0.1000802,              0,       191.7384,      -104.7775
       4.027353,      0.1000756,              0,       193.6431,      -107.3113
       4.029306,      0.1001516,              0,       197.5844,      -105.3064
        4.03126,     0.09995152,              0,       191.4966,      -106.2889
       4.033213,      0.1001636,              0,       200.4213,      -105.5794
       4.035166,      0.1000355,              0,       194.8732,      -106.4469
       4.037119,       0.100149,              0,       200.6263,      -105.3019
       4.039072,     0.09999057,              0,       194.4483,       -106.499
       4.041025,      0.1001796,              0,       203.4342,        -106.25
       4.042978,     0.09997921,              0,       196.2085,      -105.6234
       4.044931,      0.1000911,              0,       199.3199,      -106.9226
       4.046885,      0.1001525,              0,       204.1161,      -104.9973
       4.048838,     0.09998883,              0,       197.7287,      -105.6606
       4.050791,      0.1001282,              0,       202.6948,      -106.1923
       4.052744,      0.1000764,              0,       202.3314,       -106.053
       4.054697,      0.1000941,              0,       202.4943,      -105.6062
        4.05666,       0.100089,              0,        204.392,      -106.4549
       4.058613,      0.1000929,              0,       204.8672,      -105.6193
       4.060566,      0.1000706,              0,       206.2618,       -106.769
        4.06252,      0.1000558,              0,       204.4074,      -105.3299
       4.064473,       0.100113,              0,       210.1299,      -106.9368
       4.066426,      0.1000511,              0,       207.2535,      -104.8063
       4.068379,     0.09999643,              0,       204.1756,      -106.9977
       4.070332,      0.1001735,              0,       212.5803,       -106.635
       4.072285,      0.1000114,              0,       206.8774,      -105.1141
       4.074238,      0.1000677,              0,       210.3556,       -107.271
       4.076191,      0.1001118,              0,       210.5962,      -104.8067
       4.078145,      0.1000216,              0,       208.4788,      -107.4176
       4.080098,      0.1001717,              0,       214.6938,      -105.1997
       4.082051,     0.09995896,              0,       207.0474,       -106.527
       4.084004,      0.1001665,              0,       216.1363,      -106.6119
       4.085957,     0.09997655,              0,       210.2268,      -105.2793
        4.08791,      0.1000854,              0,       213.9766,      -107.8516
       4.089863,      0.1001196,              0,       215.3105,      -104.9372
       4.091816,     0.09999535,              0,       211.4474,      -107.0322
        4.09377,      0.1002025,              0,       221.4433,       -106.011
       4.095723,     0.09991498,              0,       211.2156,      -105.6386
       4.097676,      0.1002118,              0,       222.4304,      -106.9049
       4.099629,      0.1000373,              0,       216.8892,      -104.5773
       4.101582,      0.1000788,              0,       220.5038,      -106.8152
       4.103535,        0.10003,              0,       217.8609,      -104.8738
       4.105488,      0.1000718,              0,       218.0896,      -107.5774
       4.107441,      0.1001548,              0,       223.5748,      -105.1379
       4.109404,     0.09992154,              0,        215.023,      -107.5167
       4.111357,      0.1002834,              0,       229.8249,      -105.8322
        4.11331,     0.09988736,              0,       215.6492,      -106.4079
       4.115263,      0.1002251,              0,       229.4922,      -107.4117
       4.117217,     0.09997592,              0,       221.3344,      -103.6073
        4.11917,      0.1000387,              0,       223.4367,      -109.0954
       4.121123,      0.1001986,              0,       229.4168,      -104.8348
       4.123076,     0.09991434,              0,       220.8417,      -106.6836
       4.125029,      0.1002344,              0,       232.1868,      -106.3975
       4.126982,     0.09995347,              0,        224.507,      -105.8168
       4.128935,       0.100109,              0,       229.5462,      -107.6526
       4.130888,      0.1000936,              0,       230.6366,      -105.5297
       4.132842,      0.1000201,              0,       228.8328,      -107.2529
       4.134795,      0.1001344,              0,       233.9149,      -106.1104
       4.136748,     0.09998699,              0,       228.5185,      -106.5887
       4.138701,      0.1001595,              0,       235.6453,      -107.0839
       4.140654,       0.100042,              0,       234.0689,       -105.638
       4.142607,      0.1000305,              0,       233.7811,      -106.9478
        4.14456,      0.1001636,              0,       239.3158,      -105.5491
       4.146513,     0.09991692,              0,       231.5688,      -106.6133
       4.148467,      0.1001273,              0,       240.8556,      -107.1054
        4.15042,      0.1000447,              0,       239.6562,      -105.1467
       4.152373,      0.1000344,              0,       236.4239,      -106.3849
       4.154326,      0.1001627,              0,       245.0365,      -106.2878
       4.156279,      0.1000162,              0,       238.9897,      -104.8028
       4.158232,     0.09997994,              0,       237.9592,      -107.5136
       4.160185,      0.1002341,              0,       248.2447,      -105.7868
