Group Signal ,Xx,Frame 123421,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,     0.09895249,      -36.78104
    0.004882813,     0.09670189,      -13.49972
    0.009765625,      0.0951477,       9.950386
     0.01464844,     0.08894902,       31.77564
     0.01953125,     0.08031964,         53.497
     0.02441406,     0.07581893,       75.88532
     0.02929688,     0.06475459,       97.53876
     0.03417969,     0.05550602,       117.4845
      0.0390625,     0.05166152,       133.3142
     0.04394531,      0.0358252,       146.5183
     0.04882813,     0.02526135,       160.3246
     0.05371094,     0.02183553,       172.2265
     0.05859375,    0.005849855,       179.8319
     0.06347656,    -0.01019265,       183.3757
     0.06835938,     -0.0164099,       185.3909
     0.07324219,    -0.02613761,       186.4044
       0.078125,     -0.0417556,       185.5529
     0.08300781,    -0.05032917,        180.209
     0.08789063,    -0.06315666,       169.0236
     0.09277344,    -0.07459846,       156.4122
     0.09765625,    -0.07779468,       143.9301
      0.1025391,     -0.0874131,       131.1397
      0.1074219,     -0.0952891,       115.8532
      0.1123047,     -0.1027032,       97.30575
      0.1171875,     -0.1004953,       76.91657
      0.1220703,     -0.1004006,       54.97549
      0.1269531,     -0.1003872,       32.84396
      0.1318359,    -0.09993118,       9.628318
      0.1367188,    -0.09225181,      -14.29334
      0.1416016,    -0.08405622,      -36.67708
      0.1464844,    -0.07836516,      -58.01444
      0.1513672,    -0.07286431,      -78.12503
        0.15625,    -0.06382563,      -96.61729
      0.1611328,    -0.05456698,      -115.1078
      0.1660156,    -0.04452909,      -132.1115
      0.1708984,    -0.03001271,      -147.4648
      0.1757813,    -0.02225255,       -159.255
      0.1806641,    -0.01569336,      -168.5726
      0.1855469,    0.004174473,       -174.586
      0.1904297,     0.01536307,      -179.0268
      0.1953125,     0.02268869,      -181.2771
      0.2001953,     0.03770995,      -180.8433
      0.2050781,     0.05141077,      -177.1349
      0.2099609,     0.05974638,      -171.2824
      0.2148438,     0.07067016,      -163.4758
      0.2197266,     0.08214384,      -152.7802
      0.2246094,     0.08468813,      -139.7916
      0.2294922,     0.08903257,      -122.4485
       0.234375,      0.1024041,      -102.4578
      0.2392578,      0.1032864,      -82.60883
      0.2441406,     0.09814282,      -62.97763
      0.2490234,      0.1008914,      -42.46264
      0.2539063,     0.09999333,      -19.91721
      0.2587891,     0.09641764,        3.50174
      0.2636719,     0.08963367,       25.72476
      0.2685547,     0.08225045,       47.25291
      0.2734375,     0.07568429,       69.43533
      0.2783203,      0.0668598,       91.54597
      0.2832031,     0.06093204,       112.1196
      0.2880859,     0.04964903,       129.1128
      0.2929688,     0.03734354,       142.9178
      0.2978516,     0.02962096,       156.7321
      0.3027344,     0.02308582,       168.8197
      0.3076172,    0.006203663,       177.7191
         0.3125,   -0.006504106,       182.1992
      0.3173828,     -0.0148079,       184.5319
      0.3222656,    -0.02582144,       186.2257
      0.3271484,    -0.03814435,       185.7934
      0.3320313,    -0.04967508,       181.3731
      0.3369141,    -0.06132188,       171.9851
      0.3417969,    -0.07184811,       159.3915
      0.3466797,    -0.07612098,       147.2322
      0.3515625,     -0.0844041,       134.5863
      0.3564453,    -0.09650714,       120.5343
      0.3613281,      -0.101442,       102.8232
      0.3662109,    -0.09986524,       82.58734
      0.3710938,     -0.0996305,       61.36375
      0.3759766,    -0.09904429,       38.89137
      0.3808594,     -0.1002391,       15.93566
      0.3857422,    -0.09427529,      -7.547814
       0.390625,    -0.08563443,      -30.81138
      0.3955078,    -0.08181489,      -52.61258
      0.4003906,    -0.07277308,       -72.6395
      0.4052734,    -0.06684628,      -92.19585
      0.4101563,    -0.05614205,      -110.5724
      0.4150391,    -0.04514759,      -128.2922
      0.4199219,    -0.03504063,      -144.0671
      0.4248047,    -0.02578593,       -156.815
      0.4296875,    -0.01483358,      -166.9701
      0.4345703,   0.0008120891,      -174.1257
      0.4394531,     0.01279293,      -178.8633
      0.4443359,     0.02150972,      -181.2991
      0.4492188,     0.03292235,       -181.628
      0.4541016,     0.04716561,      -178.9431
      0.4589844,      0.0609243,      -173.5571
      0.4638672,     0.06966884,      -166.4602
        0.46875,     0.07757093,      -156.2447
      0.4736328,     0.08452162,        -143.84
      0.4785156,      0.0925634,      -127.6976
      0.4833984,      0.0990942,      -108.2978
      0.4882813,     0.09930092,      -88.14319
