Sig Name,Drive F,Frame 102951,
Format,Mag,Scaling,EU

Hz,V
        6.00168,      0.0354137
       6.003516,     0.03572006
       6.005352,     0.03576209
       6.007187,     0.03615955
       6.009024,      0.0363423
       6.010859,     0.03592644
       6.012695,     0.03626248
       6.014493,     0.03684036
       6.016328,      0.0358086
       6.018164,     0.03509344
           6.02,     0.03593521
       6.021836,     0.03594619
       6.023672,     0.03592468
       6.025508,     0.03589245
       6.027344,     0.03590111
       6.029141,     0.03582237
       6.030977,     0.03558508
       6.032813,     0.03573823
       6.034648,     0.03598378
       6.036484,     0.03570256
       6.038321,     0.03563944
       6.040156,     0.03577976
       6.041992,     0.03564942
       6.043828,     0.03552678
       6.045625,     0.03555776
       6.047481,     0.03555822
       6.049316,     0.03545029
       6.051152,     0.03549363
       6.052949,     0.03532651
       6.054785,     0.03548019
       6.056621,     0.03561557
       6.058457,     0.03546261
       6.060293,     0.03524409
       6.062129,     0.03514207
       6.063965,     0.03523291
       6.065801,      0.0354671
       6.067598,     0.03511615
       6.069434,     0.03517654
        6.07127,     0.03525671
       6.073105,     0.03489108
       6.074942,     0.03530833
       6.076777,     0.03549007
       6.078613,      0.0349852
       6.080449,     0.03521783
       6.082285,     0.03513876
       6.084082,     0.03507408
       6.085918,     0.03493554
       6.087754,     0.03490099
        6.08959,     0.03485111
       6.091426,     0.03475257
       6.093262,     0.03493994
       6.095098,     0.03465252
       6.096934,     0.03481089
       6.098731,     0.03482709
       6.100566,     0.03483592
       6.102402,     0.03500509
       6.104239,     0.03475346
       6.106074,     0.03410707
        6.10791,     0.03429067
       6.109746,     0.03427498
       6.111582,     0.03458209
       6.113379,     0.03476764
       6.115215,     0.03473773
       6.117051,     0.03462533
       6.118887,     0.03447629
       6.120723,     0.03444238
       6.122559,     0.03439197
       6.124394,     0.03437572
       6.126231,     0.03433206
       6.128067,     0.03426149
       6.129863,     0.03427238
       6.131699,     0.03431477
       6.133535,     0.03420612
       6.135371,     0.03416157
       6.137207,     0.03418449
       6.139023,     0.03419849
        6.14086,     0.03414971
       6.142695,     0.03402848
       6.144531,     0.03397361
       6.146367,     0.03402232
       6.148203,     0.03406104
       6.150039,     0.03402695
       6.151836,     0.03385765
       6.153672,     0.03388692
       6.155528,     0.03396755
       6.157344,      0.0339487
        6.15918,     0.03381268
       6.161016,     0.03372146
       6.162852,     0.03378328
       6.164688,     0.03384764
       6.166523,     0.03376229
        6.16832,      0.0336785
       6.170156,     0.03362404
       6.171992,     0.03367753
       6.173828,     0.03368059
       6.175664,     0.03361205
         6.1775,     0.03355607
       6.179336,     0.03359009
       6.181172,     0.03357875
       6.182969,     0.03345124
       6.184805,     0.03340378
       6.186641,     0.03342598
       6.188477,     0.03345739
       6.190312,     0.03342254
       6.192149,     0.03331862
       6.193985,     0.03327414
        6.19582,     0.03328645
       6.197656,      0.0332499
       6.199453,     0.03319323
       6.201289,     0.03317973
       6.203125,     0.03316607
       6.204961,     0.03311254
       6.206797,     0.03312385
       6.208633,     0.03311015
       6.210469,     0.03303362
       6.212305,     0.03298801
       6.214102,     0.03298104
       6.215938,     0.03297233
       6.217773,     0.03293221
       6.219609,     0.03290845
       6.221446,     0.03286718
       6.223281,     0.03284039
       6.225117,      0.0328444
       6.226953,     0.03284101
        6.22875,      0.0327699
       6.230586,     0.03270846
       6.232441,     0.03265775
       6.234277,     0.03261285
       6.236074,     0.03264269
        6.23791,     0.03280077
       6.239746,       0.032726
       6.241582,     0.03261431
       6.243418,     0.03267018
       6.245254,      0.0325677
        6.24709,     0.03240964
       6.248926,     0.03240225
       6.250762,     0.03248363
       6.252559,     0.03243518
       6.254395,     0.03221972
        6.25623,     0.03218756
       6.258067,     0.03225219
       6.259902,     0.03241293
       6.261738,     0.03233026
       6.263574,     0.03224943
        6.26541,     0.03214489
       6.267207,     0.03206535
       6.269043,     0.03208689
       6.270879,     0.03209452
       6.272715,     0.03210327
       6.274551,     0.03205213
       6.276387,     0.03196569
       6.278223,     0.03186079
       6.280059,      0.0318729
       6.281895,     0.03191084
       6.283691,      0.0319352
       6.285527,     0.03184539
       6.287364,     0.03173624
       6.289199,     0.03169321
       6.291035,     0.03173487
       6.292871,     0.03177852
       6.294707,     0.03173103
       6.296543,     0.03153745
        6.29834,     0.03145141
       6.300176,     0.03159818
       6.302012,     0.03163281
       6.303848,     0.03158156
       6.305684,     0.03144988
       6.307519,      0.0313346
       6.309356,     0.03132112
       6.311192,     0.03145846
       6.312988,     0.03142226
       6.314824,     0.03136396
        6.31666,     0.03120454
       6.318496,     0.03115375
       6.320332,      0.0312275
       6.322168,     0.03126396
       6.324004,     0.03120388
        6.32584,     0.03108574
       6.327656,     0.03101968
       6.329492,     0.03106062
       6.331328,     0.03106684
       6.333164,     0.03103259
          6.335,     0.03100066
       6.336816,     0.03090478
       6.338633,     0.03085371
       6.340469,     0.03078883
       6.342305,     0.03080383
       6.344141,     0.03081167
       6.345977,     0.03084325
       6.347813,     0.03074775
       6.349648,     0.03063608
       6.351445,     0.03061804
       6.353281,     0.03060533
       6.355117,      0.0306719
       6.356953,     0.03059726
       6.358789,     0.03049589
       6.360625,     0.03036834
       6.362461,     0.03039602
       6.364297,     0.03045113
       6.366133,     0.03046042
        6.36793,     0.03044862
       6.369766,     0.03036176
       6.371602,     0.03022582
       6.373437,     0.03018675
       6.375274,      0.0302061
        6.37711,     0.03019636
       6.378945,     0.03020706
       6.380781,      0.0301764
       6.382578,     0.03013477
       6.384414,     0.03006435
        6.38625,     0.03003035
       6.388086,     0.03000727
       6.389922,      0.0299523
       6.391758,     0.02992805
       6.393594,     0.02989861
        6.39543,      0.0298809
       6.397227,     0.02989673
       6.399063,     0.02980289
       6.400898,     0.02974684
       6.402734,     0.02968254
       6.404571,     0.02968036
       6.406406,     0.02966687
       6.408242,     0.02964831
       6.410078,     0.02961396
       6.411914,     0.02959151
       6.413711,     0.02956095
       6.415547,     0.02950483
       6.417383,     0.02940353
       6.419219,     0.02938363
       6.421055,     0.02938902
       6.422891,     0.02937538
       6.424726,     0.02932425
       6.426543,     0.02930106
       6.428379,     0.02924207
       6.430215,     0.02915142
       6.432051,     0.02907667
       6.433887,      0.0289837
       6.435684,     0.02897602
        6.43752,     0.02898217
       6.439355,      0.0290794
       6.441192,     0.02905095
       6.443027,     0.02902472
       6.444863,     0.02896156
       6.446699,     0.02880937
       6.448535,     0.02873656
       6.450371,     0.02865184
       6.452168,     0.02863352
       6.454004,     0.02870513
        6.45584,     0.02874974
       6.457676,     0.02873925
       6.459512,     0.02869268
       6.461348,      0.0285418
       6.463184,     0.02848443
        6.46502,     0.02842524
       6.466816,     0.02834622
       6.468652,     0.02836058
       6.470489,     0.02839834
       6.472324,     0.02841777
        6.47416,     0.02835456
       6.475996,     0.02825774
       6.477832,     0.02817779
       6.479668,     0.02812903
       6.481504,     0.02808345
       6.483301,     0.02803572
       6.485137,     0.02801549
       6.486973,     0.02796322
       6.488809,     0.02795262
       6.490644,     0.02798064
       6.492481,     0.02793415
       6.494317,     0.02784303
       6.496152,     0.02778977
       6.497949,     0.02773147
       6.499785,     0.02768245
       6.501621,     0.02771004
       6.503457,     0.02772075
       6.505293,      0.0277167
       6.507129,     0.02764931
       6.508965,     0.02757587
       6.510801,     0.02751524
       6.512598,     0.02743834
       6.514434,     0.02738727
        6.51627,      0.0273953
       6.518106,     0.02738477
       6.519941,     0.02734285
       6.521778,     0.02728058
       6.523613,     0.02719734
       6.525449,     0.02719248
       6.527285,     0.02716447
       6.529102,     0.02716125
       6.530938,      0.0271597
       6.532773,     0.02716105
       6.534609,     0.02712649
       6.536407,     0.02700106
       6.538242,     0.02692244
       6.540078,     0.02683054
       6.541914,     0.02674836
        6.54375,     0.02674926
       6.545586,      0.0267404
       6.547422,     0.02669121
       6.549258,      0.0266912
       6.551055,     0.02666874
       6.552891,     0.02664505
       6.554727,     0.02661007
       6.556562,     0.02657637
       6.558399,     0.02660125
       6.560235,     0.02657507
        6.56207,     0.02652718
       6.563906,     0.02646163
       6.565742,      0.0264244
       6.567539,     0.02635184
       6.569375,     0.02622532
       6.571211,     0.02612695
       6.573047,     0.02608003
       6.574883,     0.02613052
       6.576719,      0.0261321
       6.578555,     0.02613566
       6.580391,     0.02613083
       6.582188,     0.02617908
       6.584023,     0.02609854
       6.585859,     0.02599769
       6.587715,     0.02592207
       6.589531,     0.02580376
       6.591367,     0.02575399
       6.593203,     0.02575631
       6.595039,      0.0257377
       6.596836,      0.0256714
       6.598672,     0.02560842
       6.600508,     0.02560716
       6.602344,     0.02559688
        6.60418,     0.02557611
       6.606016,     0.02551294
       6.607852,     0.02543898
       6.609688,     0.02534898
       6.611524,     0.02526983
        6.61332,     0.02519622
       6.615156,     0.02520655
       6.616992,     0.02523508
       6.618828,     0.02528439
       6.620664,     0.02527502
         6.6225,     0.02522485
       6.624336,      0.0250974
       6.626172,     0.02501499
       6.627969,     0.02494604
       6.629805,     0.02491951
       6.631641,     0.02487393
       6.633477,     0.02483482
       6.635293,     0.02479798
       6.637129,     0.02482916
       6.638965,     0.02480777
       6.640801,      0.0247917
       6.642637,     0.02474501
       6.644473,     0.02466092
       6.646309,      0.0245655
       6.648145,     0.02460616
       6.649981,     0.02456203
       6.651777,     0.02453758
       6.653614,      0.0245273
       6.655449,     0.02453718
       6.657285,     0.02446284
       6.659121,     0.02442768
       6.660957,     0.02435716
       6.662793,     0.02432527
       6.664629,     0.02430597
       6.666426,     0.02429087
       6.668262,     0.02433575
       6.670098,     0.02427234
       6.671934,     0.02425737
       6.673769,     0.02427437
       6.675606,     0.02420571
       6.677442,     0.02412897
       6.679277,     0.02409524
