Group Signal ,Xx,Frame 51752,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,    -0.03313795,      -41.90733
    0.004882813,    -0.05221719,      -38.15894
    0.009765625,    -0.07082247,      -32.02803
     0.01464844,    -0.08749139,      -23.64127
     0.01953125,     -0.1006511,      -13.58919
     0.02441406,     -0.1029314,      -3.156316
     0.02929688,    -0.09349193,       7.223429
     0.03417969,    -0.08257959,       18.00251
      0.0390625,    -0.07769595,       28.29222
     0.04394531,    -0.05700948,       36.94977
     0.04882813,    -0.02956792,       43.03529
     0.05371094,   -0.006573002,       46.51856
     0.05859375,     0.01092835,        47.7059
     0.06347656,      0.0381006,        46.5759
     0.06835938,     0.06214811,       42.57039
     0.07324219,     0.07896408,       35.58779
       0.078125,     0.09243076,       26.87825
     0.08300781,     0.09794816,       17.38103
     0.08789063,     0.09842698,       7.373319
     0.09277344,     0.09873096,      -3.851458
     0.09765625,     0.08702328,      -14.86082
      0.1025391,      0.0650768,      -24.70665
      0.1074219,     0.04915839,       -32.2884
      0.1123047,     0.03589231,      -37.69427
      0.1171875,    0.008909226,      -41.36001
      0.1220703,    -0.02209751,       -42.8288
      0.1269531,    -0.04504096,        -41.485
      0.1318359,    -0.05837295,      -37.29693
      0.1367188,    -0.07705974,      -30.76297
      0.1416016,    -0.09451032,      -21.82386
      0.1464844,     -0.1030004,      -11.54154
      0.1513672,     -0.1011584,      -1.226855
        0.15625,    -0.09026338,       9.184831
      0.1611328,    -0.07844622,       19.62612
      0.1660156,    -0.07001407,       29.42863
      0.1708984,    -0.04799807,       37.53617
      0.1757813,    -0.02038224,       42.75694
      0.1806641,    0.002268411,       45.45587
      0.1855469,     0.02327935,        45.9848
      0.1904297,     0.04746989,       44.50208
      0.1953125,     0.06838979,       40.23577
      0.2001953,     0.08514706,       32.85909
      0.2050781,     0.09592248,       23.80206
      0.2099609,     0.09880465,       14.37216
      0.2148438,     0.09735898,       4.729033
      0.2197266,     0.09681892,      -5.970228
      0.2246094,     0.07970595,      -16.37084
      0.2294922,     0.05693608,      -25.44278
       0.234375,     0.04358158,      -32.19289
      0.2392578,     0.02663619,      -37.01258
      0.2441406,   -0.002435142,      -40.07144
      0.2490234,    -0.03149479,      -40.74554
      0.2539063,    -0.05201269,      -38.23075
      0.2587891,    -0.06749788,      -33.56595
      0.2636719,    -0.08419792,      -26.76454
      0.2685547,    -0.09530816,      -17.83244
      0.2734375,     -0.1044125,      -7.695869
      0.2783203,     -0.1012237,       2.566338
      0.2832031,    -0.08412185,       12.54027
      0.2880859,    -0.07118534,       22.35923
      0.2929688,    -0.06443404,       31.31424
      0.2978516,    -0.04114028,       38.15956
      0.3027344,    -0.00925876,       42.47741
      0.3076172,     0.01127021,       44.18671
