Group Signal ,Ctrl F,Frame 62091,
Format,Mag,Scaling,EU
Signals,Ref,Alarm-,Alarm+,Abort-,Abort+

Hz,g,g,g,g,g

              4,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.001954,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.003907,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.00586,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.007813,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.009767,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.01172,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.013674,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.015627,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.017581,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.019534,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.021487,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.02344,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.025394,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.027347,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.029301,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.031254,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.033207,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.035161,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.037114,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.039067,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.041021,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.042974,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.044928,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.046881,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.048834,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.050787,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.052741,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.054694,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.056648,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.058601,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.060555,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.062508,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.064461,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.066414,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.068368,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.070321,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.072275,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.074228,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.076181,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.078135,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.080088,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.082041,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.083995,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.085948,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.087902,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.089855,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.091808,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.093761,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.095715,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.097668,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.099622,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.101575,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.103528,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.105482,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.107435,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.109388,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.111342,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.113295,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.115249,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.117202,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.119155,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.121109,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.123062,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.125015,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.126969,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.128922,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.130876,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.132829,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.134782,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.136735,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.138689,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.140642,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.142596,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.144549,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.146502,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.148456,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.150409,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.152362,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.154316,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.156269,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.158223,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.160176,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.162129,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.164083,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.166036,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.167989,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.169943,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.171896,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.17385,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.175803,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.177756,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.179709,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.181663,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.183616,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.18557,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.187523,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.189476,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.19143,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.193383,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.195336,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.19729,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.199243,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.201197,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.20315,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.205103,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.207057,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.20901,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.210963,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.212917,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.21487,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.216824,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.218777,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.22073,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.222683,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.224637,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.22659,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.228544,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.230497,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.23245,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.234404,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.236357,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        4.23831,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.240264,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.242217,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.244171,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.246124,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.248077,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.250031,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.251984,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.253937,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.255891,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.257844,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.259798,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.261751,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.263704,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.265657,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.267611,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.269564,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.271518,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.273471,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.275424,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.277378,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.279331,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.281284,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.283238,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.285191,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.287145,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.289098,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.291051,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.293005,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.294958,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       4.296911,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
