Group Signal ,Ctrl F,Frame 128552,
Format,Mag,Scaling,EU
Signals,Ref,Alarm-,Alarm+,Abort-,Abort+

Hz,g,g,g,g,g

              5,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.001831,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.003663,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.005494,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.007325,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.009156,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.010988,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.012819,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.01465,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.016481,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.018313,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.020144,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.021976,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.023807,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.025638,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.027469,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.029301,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.031132,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.032963,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.034794,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.036625,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.038457,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.040288,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.04212,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.043951,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.045782,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.047613,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.049445,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.051276,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.053107,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.054938,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.05677,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.058601,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.060432,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.062263,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.064095,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.065926,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.067757,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.069589,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.07142,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.073251,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.075082,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.076914,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.078745,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.080576,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.082407,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.084239,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.08607,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.087902,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.089733,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.091564,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.093395,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.095226,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.097058,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.098889,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.10072,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.102551,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.104383,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.106214,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.108046,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.109877,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.111708,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.113539,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.115371,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.117202,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.119033,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.120864,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.122695,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.124527,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.126358,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.12819,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.130021,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.131852,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.133683,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.135515,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.137346,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.139177,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.141008,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.14284,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.144671,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.146502,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.148334,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.150165,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.151996,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.153827,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.155659,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.15749,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.159321,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.161152,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.162984,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.164815,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.166646,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.168478,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.170309,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.17214,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.173972,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.175803,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.177634,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.179465,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.181296,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.183128,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.184959,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.18679,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.188622,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.190453,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.192284,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.194116,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.195947,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.197778,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.199609,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.201441,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.203272,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.205103,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.206934,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.208766,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.210597,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.212428,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.21426,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.216091,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.217922,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.219753,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.221585,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.223416,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.225247,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.227078,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.22891,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.230741,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.232573,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.234404,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.236235,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.238066,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.239897,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.241729,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.24356,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.245391,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.247222,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.249054,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.250885,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.252717,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.254548,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.256379,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
        5.25821,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.260042,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.261873,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.263704,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.265535,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.267366,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.269198,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.271029,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.272861,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.274692,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.276523,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
       5.278354,            0.2,      0.1415892,      0.2825075,      0.1002375,      0.3990525
