Group Signal ,Hxy,Frame 64553,
Format,Mag/Phase,Scaling,Ratio
Signals,H:1,,H:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g/V,deg,(mm/s)/V,deg
Scaling,Mag,Phase,Mag,Phase
            5.2,       1.992854,       118.2705,       1406.199,       16.68672
            5.4,       2.184169,       115.1993,        1713.36,       14.21747
            5.6,       2.346725,       111.8826,       2087.469,       11.13575
            5.8,       2.509942,        109.315,       2504.054,       8.984136
              6,       2.687096,       106.3535,        3197.02,       5.467164
            6.2,       2.973738,       103.5002,       4595.315,        4.97698
            6.4,       3.178113,       98.60307,       6643.769,      -5.972759
            6.6,       3.116246,        87.0214,       10971.46,       -54.0638
            6.8,       2.347352,       77.89812,       21759.84,      -111.7948
              7,       2.848849,       97.47144,       11064.92,      -163.8283
            7.2,       3.212749,       95.11338,        7702.28,      -174.8251
            7.4,       3.755796,       86.95808,       4182.881,       172.7529
            7.6,       3.959791,        83.7563,        3530.65,       166.7192
            7.8,        4.00386,       78.45626,       2731.656,       158.5774
              8,       3.909443,       76.10523,       2072.245,       156.6726
            8.2,       3.977202,       76.28587,       1691.709,       160.2435
       8.400001,        4.16871,       76.24958,       1518.649,       159.9701
            8.6,       4.420075,       75.17711,       1378.391,       158.8095
            8.8,       4.754181,       72.73641,       1220.269,       155.9979
              9,       4.924578,       71.23405,       1174.531,       154.7946
            9.2,       5.260931,       68.40496,       1078.056,       152.7027
       9.400001,       5.548944,       65.89529,       1018.696,       150.4404
            9.6,       5.866693,       63.87451,        980.965,       147.6062
            9.8,       6.145137,       60.38413,       921.1555,       144.9996
             10,       6.513719,       57.83148,       887.2914,       141.7242
           10.2,       6.881902,       54.43781,       845.9575,       138.1465
           10.4,       7.055307,       50.27264,       799.7687,       135.6097
           10.6,       7.552252,       45.73727,       762.1287,       130.9769
           10.8,       7.665874,        43.5787,       741.4099,       129.1315
             11,       8.052923,       36.92033,        709.519,       123.7601
           11.2,       8.148569,       31.78636,        671.972,       119.7749
           11.4,       8.190023,       25.23831,       627.1772,       112.8889
           11.6,       7.863184,       17.30901,       550.7112,       105.6012
           11.8,       7.486772,       12.89791,        493.173,       101.8306
             12,       7.130383,       10.83294,       453.3178,       100.0976
           12.2,       6.395411,       12.49473,       390.4683,       102.2828
           12.4,       5.999575,       14.50158,       349.4844,       104.9272
           12.6,       5.985953,       16.83755,       335.8526,       107.7006
           12.8,       6.120571,       18.46708,       321.1562,       108.7349
             13,       6.497917,       20.14277,       333.1427,       108.7515
           13.2,       6.690466,       20.49319,       336.0492,       109.1103
           13.4,       7.049314,        19.5199,       320.3265,       107.5866
           13.6,       7.378733,        19.3022,       319.8311,       103.7286
           13.8,       7.644744,       18.55772,       319.2326,         103.89
             14,       8.164497,       17.11729,       316.4042,       98.51496
           14.2,       8.519691,       15.32697,       310.4302,       95.43802
           14.4,       8.761845,       13.50696,       304.6721,       95.13976
           14.6,       9.066753,       11.71986,       294.9697,       94.39973
           14.8,       9.391018,         8.7295,       281.0927,       93.17246
             15,       9.798385,       6.910472,       279.2758,       90.63278
           15.2,       10.12382,       6.008095,       278.2801,       89.35183
           15.4,       10.61301,       2.735508,       273.3128,       87.37666
           15.6,       10.77518,       1.029146,       269.3046,        86.0051
           15.8,        10.9856,      -1.514176,       266.4584,       84.37405
             16,       11.24091,      -3.828701,       261.3205,       82.69038
           16.2,       11.58244,      -6.385004,       254.9084,       79.88557
           16.4,       11.85571,      -8.592116,       250.9203,       77.35834
           16.6,       12.00307,      -10.33613,       247.6083,       75.70757
           16.8,       12.46482,      -12.69702,       248.7276,       73.37285
             17,       12.69086,      -14.80844,       245.2197,       72.73276
           17.2,        13.0241,      -17.30088,       242.3126,       70.29311
           17.4,       13.36657,       -19.5044,       237.3729,       67.00183
           17.6,       13.75439,      -22.35923,       232.9789,       63.48205
           17.8,       13.86765,      -23.83434,       229.8891,       62.73083
             18,       13.96409,      -26.24636,       225.1339,        61.1362
           18.2,       14.44076,      -29.15157,       225.7825,       58.95378
           18.4,       14.73901,      -31.24067,       223.9038,         56.103
           18.6,       15.03628,      -32.81796,        221.092,        53.9497
           18.8,       15.36461,      -35.77675,       215.1566,       51.87178
             19,       15.46381,      -38.07275,       210.2939,       49.67846
           19.2,       15.82045,      -40.16305,       209.1939,       46.86631
           19.4,       16.15891,       -42.2073,       209.9838,       44.63559
           19.6,       16.22256,      -44.16001,       206.9386,       43.79585
           19.8,       16.48218,      -46.02046,       194.1888,       41.16764
             20,       16.71802,      -48.39344,       192.3336,       32.45502
