Group Signal ,Sx,Frame 128552,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
        6.00168,      0.1997199,              0,       260.5181,      -101.0551
       6.003516,       0.199548,              0,       261.3288,      -101.0988
       6.005352,      0.1997582,              0,       262.3828,      -100.9111
       6.007187,       0.199648,              0,       263.3627,       -101.385
       6.009024,      0.1995314,              0,       262.4364,      -101.3456
       6.010859,      0.1994611,              0,       261.8011,      -100.9599
       6.012695,       0.199861,              0,       264.0746,      -100.6202
       6.014492,      0.1997817,              0,        267.087,      -101.3748
       6.016328,      0.1995817,              0,       264.0448,      -101.1216
       6.018164,      0.1996616,              0,        264.883,      -101.0314
           6.02,      0.1997396,              0,       266.4527,      -101.0508
       6.021816,      0.1997482,              0,        266.955,      -101.6381
       6.023672,      0.1996637,              0,       266.4938,      -101.1379
       6.025508,      0.1995045,              0,       265.1786,      -101.2379
       6.027344,       0.199706,              0,       268.2498,      -100.9195
        6.02914,      0.1997754,              0,       268.7557,      -101.2679
       6.030977,      0.1998129,              0,        270.498,      -101.3863
       6.032813,      0.1993997,              0,       268.7737,      -101.6586
       6.034648,      0.1996595,              0,       269.1529,      -100.8541
       6.036484,      0.1998239,              0,       271.6269,      -101.1067
       6.038321,      0.1997384,              0,        271.572,      -101.2052
       6.040156,       0.199613,              0,       270.0967,      -101.2421
       6.041992,      0.1995836,              0,       272.1013,      -101.0047
       6.043828,      0.1995919,              0,       272.3219,      -101.0148
       6.045625,      0.1996062,              0,        273.519,      -100.9415
       6.047481,       0.199695,              0,       275.2023,      -101.0467
       6.049316,      0.1995787,              0,       274.2574,      -101.1028
       6.051152,       0.199865,              0,       276.0194,      -100.9368
       6.052949,      0.1996538,              0,        276.422,      -101.4823
       6.054785,      0.1995672,              0,       275.4357,       -101.203
       6.056621,      0.1996598,              0,       276.3461,      -100.8121
       6.058457,      0.1998679,              0,       280.4719,      -101.2086
       6.060293,      0.1996583,              0,       278.6355,      -101.4232
       6.062129,       0.199693,              0,       279.5429,       -101.178
       6.063965,      0.1995626,              0,       278.5922,      -101.1723
       6.065801,      0.1999455,              0,       281.9614,      -100.9448
       6.067598,      0.1994198,              0,       281.1149,      -101.6312
       6.069434,      0.1995409,              0,        279.698,      -100.9768
        6.07127,      0.1998747,              0,       283.5683,      -100.9402
       6.073105,      0.1996396,              0,       282.1916,      -101.2649
       6.074942,      0.1999465,              0,       283.7942,      -101.0202
       6.076777,      0.1997969,              0,       284.5544,      -101.4592
       6.078613,       0.199431,              0,       283.2416,      -101.3148
       6.080449,      0.1996193,              0,       283.9804,      -100.8386
       6.082285,      0.2001052,              0,         287.82,      -100.9166
       6.084082,      0.1994303,              0,       287.1161,      -101.7911
       6.085918,      0.1993417,              0,       283.0316,      -101.0971
       6.087754,      0.1999064,              0,       289.5173,      -100.6128
        6.08961,      0.1997417,              0,       289.9749,      -101.5866
       6.091426,      0.1996258,              0,       287.8908,      -101.4953
       6.093262,      0.1996277,              0,       287.9622,      -101.0309
       6.095098,       0.199825,              0,       288.7604,      -101.2564
       6.096934,      0.1996501,              0,       292.6613,      -101.6459
       6.098731,      0.1991834,              0,       288.7361,      -101.7991
       6.100566,      0.1999176,              0,       291.4083,      -100.7065
       6.102402,      0.1999343,              0,       294.8227,      -101.4513
       6.104239,      0.1992978,              0,       291.3487,      -101.7731
       6.106074,      0.1996529,              0,       290.5328,      -101.1198
        6.10791,      0.1998278,              0,       296.2186,      -101.2707
       6.109746,      0.1996782,              0,       296.0175,      -101.6323
       6.111582,      0.1993009,              0,       293.1742,      -101.6615
       6.113359,      0.1998784,              0,       295.3523,      -100.8307
       6.115215,      0.2001447,              0,       299.8585,      -101.0453
       6.117051,      0.1993698,              0,       295.0415,      -101.9481
       6.118887,      0.1994705,              0,       296.6284,      -100.9952
       6.120723,      0.1995665,              0,       300.2668,      -101.1859
       6.122559,       0.199773,              0,       300.9536,      -101.0127
       6.124394,      0.1996391,              0,       301.7234,      -101.4207
       6.126231,      0.1996592,              0,       300.5633,      -101.1921
       6.128067,      0.1994995,              0,       300.8879,       -101.388
       6.129863,      0.1995791,              0,       301.6577,      -101.0035
       6.131699,      0.1996763,              0,       303.0848,      -101.0456
       6.133535,      0.1996225,              0,       304.3445,      -101.2068
       6.135371,         0.1994,              0,        304.804,      -101.4123
       6.137207,      0.1999555,              0,       306.2012,       -101.063
       6.139023,      0.1999115,              0,       307.8976,      -101.5365
        6.14086,      0.1992284,              0,       303.9747,      -101.9499
       6.142695,      0.1996076,              0,       304.3772,      -101.1742
       6.144531,      0.1999785,              0,       310.8212,      -101.3016
       6.146367,      0.1997659,              0,       309.6804,      -101.8364
       6.148203,      0.1994315,              0,       308.0081,      -102.0622
       6.150039,      0.1992828,              0,       306.4013,      -101.3414
       6.151836,      0.1999288,              0,        311.835,       -100.536
