Group Signal ,Xx,Frame 128552,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,     -0.1640083,       193.8787
    0.004882813,      -0.174982,       156.6635
    0.009765625,     -0.1956297,       113.3609
     0.01464844,     -0.2073551,       67.72134
     0.01953125,     -0.1967816,       21.60739
     0.02441406,     -0.1833093,       -26.1011
     0.02929688,     -0.1743589,      -73.56847
     0.03417969,      -0.158609,      -118.6934
      0.0390625,     -0.1276435,      -158.8469
     0.04394531,    -0.09834406,      -194.1112
     0.04882813,     -0.0689456,      -222.4709
     0.05371094,    -0.03802397,      -242.3592
     0.05859375,   -0.001721715,      -253.3052
     0.06347656,     0.03964804,      -255.1109
     0.06835938,     0.08212525,      -252.5806
     0.07324219,      0.1126125,      -240.8315
       0.078125,      0.1379311,      -217.1108
     0.08300781,      0.1665277,      -187.1549
     0.08789063,      0.1934791,      -152.0539
     0.09277344,      0.1963737,      -112.0416
     0.09765625,      0.1941236,      -67.28886
      0.1025391,      0.1975976,      -19.19505
      0.1074219,      0.1977976,       29.15921
      0.1123047,      0.1724972,       76.01814
      0.1171875,      0.1436807,       120.2431
      0.1220703,      0.1273385,       160.8204
      0.1269531,      0.1061816,       195.8912
      0.1318359,     0.07360916,       224.2595
      0.1367188,     0.03672356,        245.059
      0.1416016,  -8.65313e-005,       258.5152
      0.1464844,    -0.03872491,       261.6996
      0.1513672,    -0.06486201,       255.2269
        0.15625,     -0.1004506,       241.2729
      0.1611328,      -0.140127,       222.6501
      0.1660156,     -0.1634666,       196.6179
      0.1708984,     -0.1721952,       160.6464
      0.1757813,     -0.1932325,       117.8153
      0.1806641,     -0.2101838,       72.31629
      0.1855469,     -0.1986048,       26.41565
      0.1904297,     -0.1819019,      -20.66943
      0.1953125,     -0.1766834,      -68.24634
      0.2001953,     -0.1631557,       -113.403
      0.2050781,     -0.1307084,      -153.9709
      0.2099609,     -0.1011992,      -189.5196
      0.2148438,    -0.07219028,      -218.8432
      0.2197266,    -0.04134986,      -239.7462
      0.2246094,   -0.006535177,      -251.7651
      0.2294922,     0.03261688,      -254.2879
       0.234375,     0.07906291,      -252.2588
      0.2392578,      0.1114497,      -242.1975
      0.2441406,      0.1299333,       -219.744
      0.2490234,      0.1610212,      -190.5673
      0.2539063,      0.1947686,      -156.3602
      0.2587891,      0.1985302,      -117.1123
      0.2636719,      0.1891198,      -72.98923
      0.2685547,      0.1976245,      -25.20746
      0.2734375,      0.2009183,       22.96048
      0.2783203,      0.1763579,       69.44012
      0.2832031,      0.1461881,       113.7273
      0.2880859,      0.1306268,       154.6672
      0.2929688,      0.1072426,       190.5297
      0.2978516,     0.07690098,       219.7114
      0.3027344,     0.04553588,       241.7317
      0.3076172,    0.004616806,       256.0858
         0.3125,    -0.03598073,       260.5968
      0.3173828,    -0.06073558,       255.5672
      0.3222656,    -0.09380547,       242.8747
