Sig Name,Drive F,Frame 123421,
Format,Mag,Scaling,EU

Hz,V
       4.001944,     0.08386892
       4.003906,     0.08401717
       4.005859,     0.08363105
       4.007813,      0.0838439
       4.009766,     0.08356097
       4.011719,     0.08360305
       4.013672,     0.08340365
       4.015625,     0.08338846
       4.017578,     0.08335593
       4.019531,     0.08306344
       4.021484,     0.08325063
       4.023438,     0.08285762
       4.025391,      0.0831072
       4.027344,     0.08279379
       4.029297,     0.08286407
        4.03125,     0.08262458
       4.033203,     0.08269818
       4.035156,     0.08263474
       4.037109,     0.08237544
       4.039063,     0.08248603
       4.041016,     0.08227694
       4.042969,     0.08230613
       4.044922,     0.08206549
       4.046875,     0.08210978
       4.048828,      0.0819319
       4.050781,      0.0818883
       4.052734,     0.08185393
       4.054688,     0.08168053
       4.056631,     0.08169004
       4.058584,     0.08159597
       4.060537,     0.08139944
        4.06249,     0.08154184
       4.064444,     0.08111592
       4.066397,     0.08133721
        4.06835,     0.08115813
       4.070303,     0.08103763
       4.072256,     0.08110495
       4.074209,      0.0808541
       4.076162,     0.08079795
       4.078115,     0.08064432
       4.080088,     0.08079466
       4.082041,      0.0804778
       4.083994,      0.0805525
       4.085948,     0.08043005
       4.087901,     0.08024045
       4.089854,     0.08038551
       4.091807,     0.08006987
        4.09376,     0.08011277
       4.095713,     0.08008608
       4.097666,     0.07976847
       4.099619,      0.0799868
       4.101573,     0.07985372
       4.103526,      0.0795047
       4.105479,     0.07975999
       4.107432,     0.07954037
       4.109385,     0.07931525
       4.111328,      0.0795154
       4.113281,     0.07919886
       4.115234,     0.07922168
       4.117188,     0.07919873
       4.119141,     0.07897414
       4.121094,     0.07891757
       4.123047,     0.07895698
          4.125,     0.07875466
       4.126953,     0.07876531
       4.128906,     0.07864662
       4.130859,     0.07848595
       4.132813,      0.0785225
       4.134766,     0.07845426
       4.136719,     0.07828382
       4.138672,     0.07829238
       4.140625,     0.07813722
       4.142578,     0.07805227
       4.144531,     0.07794273
       4.146484,     0.07786703
       4.148438,     0.07790973
       4.150391,     0.07770859
       4.152344,     0.07756013
       4.154297,     0.07770896
        4.15625,     0.07752112
       4.158223,     0.07737274
       4.160176,     0.07740974
       4.162129,     0.07718848
       4.164082,     0.07716643
       4.166035,     0.07722213
       4.167979,     0.07676768
       4.169932,      0.0769144
       4.171885,     0.07719038
       4.173838,     0.07657515
       4.175791,     0.07659044
       4.177744,      0.0768826
       4.179698,     0.07650641
       4.181651,     0.07624859
