Group Signal ,Sx,Frame 61983,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
              4,     0.04744535,              0,       103.6874,      -109.2321
       4.001963,     0.04991651,              0,       93.72697,      -105.4573
       4.003916,     0.05019096,              0,       107.1896,      -107.5052
       4.005869,     0.04986345,              0,       93.45631,      -102.8955
       4.007822,     0.05014092,              0,       102.4069,      -108.1499
       4.009775,     0.04999389,              0,       99.22281,      -102.3046
       4.011728,     0.05003422,              0,       99.31633,      -108.8507
       4.013681,     0.05004208,              0,       102.0389,      -104.4893
       4.015635,     0.04998398,              0,       99.38691,       -107.873
       4.017588,     0.05007016,              0,       100.8741,      -104.6965
       4.019541,     0.05001538,              0,        100.116,      -106.9114
       4.021494,       0.050087,              0,       101.8047,      -105.4029
       4.023447,     0.04998296,              0,       99.96287,      -106.2001
         4.0254,      0.0500594,              0,        102.902,      -106.0429
       4.027353,     0.05001499,              0,       101.5418,      -105.9841
       4.029306,     0.05006911,              0,       105.3016,      -108.1304
        4.03126,     0.05002014,              0,       104.3138,      -104.1629
       4.033213,     0.04999781,              0,       103.4178,      -109.9151
       4.035166,     0.05008028,              0,       105.9101,      -102.4584
       4.037119,     0.04991385,              0,       101.5886,      -111.7516
       4.039072,     0.05025541,              0,       114.6585,      -101.9969
       4.041025,     0.04974663,              0,       94.36613,       -108.218
       4.042978,     0.05028529,              0,       114.5915,      -107.4282
       4.044931,     0.04981321,              0,       98.60636,      -103.7098
       4.046885,     0.05018279,              0,       112.2614,      -109.1035
       4.048838,     0.04992989,              0,       103.2888,      -103.0915
       4.050791,     0.05006569,              0,       108.8105,      -109.9327
       4.052744,     0.05007246,              0,       109.7011,       -102.941
       4.054697,     0.05000522,              0,       106.0309,      -107.9898
        4.05666,     0.05014073,              0,        111.317,      -104.2243
       4.058613,     0.04992255,              0,       103.3969,      -106.6525
       4.060566,     0.05012971,              0,       110.8717,      -106.8169
        4.06252,     0.05004223,              0,       109.4597,      -103.6002
       4.064473,     0.04996233,              0,       106.7086,       -109.011
       4.066426,     0.05017633,              0,       116.0384,      -104.9503
       4.068379,       0.049879,              0,       104.5988,       -105.643
       4.070332,     0.05014433,              0,       115.4728,       -107.348
       4.072285,     0.04998904,              0,       109.1186,      -103.3242
       4.074238,     0.05001565,              0,       108.5406,       -109.223
       4.076191,     0.05010428,              0,       114.9451,      -104.9225
       4.078145,      0.0499342,              0,       107.6294,      -106.5338
       4.080098,     0.05014811,              0,       116.0196,      -106.4675
       4.082051,     0.04993043,              0,       109.8327,      -105.6773
       4.084004,     0.05009651,              0,       114.3666,       -106.588
       4.085957,     0.05000259,              0,       112.0266,      -105.7234
        4.08791,     0.05004149,              0,       115.8995,      -107.8166
       4.089863,     0.05005888,              0,       116.0283,       -105.479
       4.091816,     0.05001143,              0,       114.9644,      -105.5753
        4.09377,     0.05007455,              0,       118.1837,      -107.5769
       4.095723,     0.05006149,              0,       117.7522,      -104.3195
       4.097676,     0.04994763,              0,       113.5498,      -107.4491
       4.099629,     0.05011386,              0,       121.3255,        -107.05
       4.101582,     0.05003731,              0,       119.2695,      -103.5295
       4.103535,     0.04997065,              0,       116.7775,      -107.6145
       4.105488,     0.05009488,              0,       121.0653,      -105.5762
       4.107441,     0.04999353,              0,       116.6333,      -105.3771
       4.109404,     0.05004892,              0,       119.2084,       -107.463
       4.111357,     0.05009177,              0,       122.2252,      -105.2655
        4.11331,     0.04996654,              0,       118.8519,      -108.1031
       4.115263,       0.050127,              0,       125.4061,       -105.791
       4.117217,     0.04995387,              0,       118.0629,      -105.3768
        4.11917,     0.05005316,              0,       125.0459,      -108.3455
       4.121123,     0.05006757,              0,       125.0428,      -103.9133
       4.123076,     0.05000226,              0,       121.1734,      -106.6174
       4.125029,     0.05012242,              0,       126.0419,      -106.5071
       4.126982,     0.05002744,              0,       124.0674,      -105.0982
       4.128935,     0.05004927,              0,       125.6357,      -106.1552
       4.130888,     0.04999259,              0,       124.9225,      -106.1453
       4.132842,      0.0500416,              0,       126.2839,      -105.8621
       4.134795,     0.05003731,              0,       126.1113,      -106.2034
       4.136748,     0.05001037,              0,       126.6008,      -107.5705
       4.138701,      0.0500636,              0,       129.4512,      -105.5739
       4.140654,      0.0499996,              0,        127.551,      -106.4619
       4.142607,     0.05002593,              0,       128.7164,      -107.1272
        4.14456,     0.05004335,              0,       131.8089,      -107.4474
       4.146513,     0.05009224,              0,       133.1751,      -105.8803
       4.148467,     0.04997744,              0,       128.0565,      -105.3901
        4.15042,     0.05005354,              0,       130.7059,       -108.823
       4.152373,     0.05010132,              0,        135.224,       -105.285
       4.154326,     0.04999886,              0,       130.3643,      -105.3663
       4.156279,     0.05005626,              0,       133.4503,      -108.4487
       4.158232,     0.05009605,              0,       137.5591,      -105.5713
       4.160185,     0.04996816,              0,       131.1081,      -105.4502
