Group Signal ,Ctrl F,Frame 123421,
Format,Mag,Scaling,EU
Signals,Ref,Alarm-,Alarm+,Abort-,Abort+

Hz,g,g,g,g,g

              4,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.001954,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.003907,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.00586,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.007813,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.009767,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.01172,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.013674,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.015627,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.017581,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.019534,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.021487,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.02344,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.025394,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.027347,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.029301,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.031254,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.033207,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.035161,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.037114,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.039067,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.041021,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.042974,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.044928,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.046881,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.048834,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.050787,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.052741,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.054694,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.056648,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.058601,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.060555,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.062508,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.064461,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.066414,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.068368,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.070321,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.072275,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.074228,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.076181,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.078135,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.080088,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.082041,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.083995,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.085948,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.087902,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.089855,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.091808,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.093761,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.095715,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.097668,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.099622,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.101575,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.103528,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.105482,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.107435,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.109388,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.111342,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.113295,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.115249,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.117202,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.119155,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.121109,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.123062,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.125015,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.126969,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.128922,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.130876,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.132829,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.134782,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.136735,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.138689,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.140642,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.142596,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.144549,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.146502,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.148456,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.150409,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.152362,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.154316,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.156269,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.158223,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.160176,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.162129,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.164083,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.166036,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.167989,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.169943,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.171896,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.17385,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.175803,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.177756,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.179709,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.181663,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.183616,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.18557,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.187523,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.189476,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.19143,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.193383,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.195336,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.19729,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.199243,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.201197,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.20315,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.205103,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.207057,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.20901,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.210963,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.212917,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.21487,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.216824,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.218777,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.22073,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.222683,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.224637,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.22659,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.228544,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.230497,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.23245,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.234404,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.236357,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
        4.23831,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.240264,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.242217,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.244171,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.246124,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.248077,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.250031,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.251984,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.253937,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.255891,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.257844,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.259798,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.261751,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.263704,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.265657,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.267611,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.269564,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.271518,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.273471,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.275424,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.277378,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.279331,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.281284,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.283238,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.285191,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.287145,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.289098,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.291051,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.293005,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.294958,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
       4.296911,            0.1,     0.07079458,      0.1412538,     0.05011873,      0.1995262
