Group Signal ,Hxy,Frame 61983,
Format,Mag/Phase,Scaling,Ratio
Signals,H:1,,H:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g/V,deg,(mm/s)/V,deg
Scaling,Mag,Phase,Mag,Phase
            4.2,       1.313778,       129.4188,       7590.058,      -1.980318
            4.4,       1.320668,       119.7785,       16876.54,      -56.33304
            4.6,       1.368045,       125.1572,       10268.95,      -103.8077
            4.8,       1.565527,       125.9595,       3586.215,      -166.5838
              5,        1.69459,       121.4182,       2279.294,      -148.8694
            5.2,       1.878187,       117.9577,       1556.429,      -160.5856
            5.4,       1.990642,        116.125,       1304.359,      -163.5132
            5.6,       2.094654,       113.6383,       1144.049,       -165.235
            5.8,       2.303515,       110.9693,       903.7447,      -170.0558
              6,       2.490639,       108.4884,       764.6224,      -170.7577
            6.2,       2.618946,       105.1215,       709.8577,      -172.8517
            6.4,       2.823583,       102.4215,       654.0154,      -175.7864
            6.6,       2.960642,       99.51272,        610.869,      -178.2423
            6.8,       3.227058,       96.23811,       570.5742,       178.4943
              7,        3.34346,       94.73654,        562.737,        177.003
            7.2,       3.647012,       89.41954,       528.5577,       170.0685
            7.4,       3.872386,       84.97621,       505.6633,       163.5763
            7.6,       3.998708,       79.26794,       473.9809,       154.5792
            7.8,       3.879298,       74.49406,       407.5524,       147.6006
              8,       3.715703,       73.09525,       331.4644,       142.4939
            8.2,         3.7762,       73.91119,       294.0066,       149.1648
       8.400001,       4.063691,       74.33459,       259.4818,       152.9706
            8.6,       4.251627,       73.78423,       240.5729,       151.5672
            8.8,       4.510798,       72.00211,         219.75,        155.015
              9,       4.852217,       69.73167,       251.2091,        150.515
            9.2,       5.076762,       68.18591,       253.7405,       151.7427
       9.400001,        5.35041,       65.37924,       220.8504,       150.0008
            9.6,       5.699654,       61.98764,       222.4328,        146.513
            9.8,       5.965758,       59.48672,       221.4233,       142.4648
             10,       6.206604,       56.58558,       215.1074,        139.256
           10.2,       6.557105,       52.81673,       213.5412,       138.6858
           10.4,       6.922418,       50.02383,       206.0312,       136.3193
           10.6,       7.215707,       46.99175,       207.9153,       133.5177
           10.8,       7.472673,       40.97414,       198.8332,       126.6763
             11,       7.665849,       34.54677,        185.056,       126.6061
           11.2,       7.965342,       30.90695,       175.1705,       122.9464
           11.4,       7.973924,        22.9331,       161.2693,       117.7497
           11.6,       7.863744,       17.68876,       155.0991,       116.1844
           11.8,       7.299159,       12.45912,       145.9696,       114.6208
             12,       6.569793,       9.916662,       134.0622,       114.2919
           12.2,       6.082802,       10.11247,       127.7907,       116.9552
           12.4,       5.820877,       12.73159,       127.1264,       118.6648
           12.6,        5.78489,       15.77213,       125.8339,       118.5317
           12.8,       5.892139,        18.7117,        134.129,        115.617
             13,       6.133507,       19.68307,       117.6287,       110.1233
           13.2,       6.343913,       19.53965,       86.46757,        105.016
           13.4,       6.826742,       19.63897,       121.1873,       82.90376
           13.6,       7.077292,       19.41249,       127.2748,        106.087
           13.8,       7.374717,       17.80353,       122.0102,       102.0647
             14,       7.700646,       16.41008,        123.494,       101.3201
           14.2,       8.004675,       14.90268,       113.5239,       101.4197
           14.4,       8.445977,       13.24635,       107.7056,       97.45574
           14.6,        8.77143,       11.83939,        109.843,       95.45809
           14.8,       9.096488,       8.755419,       105.6483,       93.95958
             15,       9.332327,       7.394153,       105.2653,       92.39197
           15.2,       9.744292,       4.801942,       103.4696,       91.24706
           15.4,       9.913002,       2.643831,       102.3825,       85.01178
           15.6,       10.29577,     -0.5909582,       100.3656,       82.35918
           15.8,       10.44261,      -2.515161,       97.17549,       83.91042
             16,       10.83262,      -4.561683,       94.83842,       82.82561
           16.2,        11.1208,      -6.498251,       96.43422,       81.24146
           16.4,       11.36179,      -8.637687,       95.15168,       79.29051
           16.6,       11.64067,      -10.61281,       91.28078,       77.45415
           16.8,        11.9665,      -13.42553,       91.13049,       73.26777
             17,       12.31829,      -16.16294,       96.72264,       67.77553
           17.2,       12.50857,       -18.2412,       94.46381,       68.73929
           17.4,       12.64189,      -19.42202,       90.61731,       67.38932
           17.6,        13.0122,      -22.49242,       68.56776,       62.06388
           17.8,       13.32248,      -24.77861,       72.71226,       73.64972
             18,       13.54469,      -27.19018,       79.14028,       65.99959
           18.2,       13.81212,      -30.06289,       77.41339,       53.06776
           18.4,       14.12059,      -31.53764,       87.49133,       56.02386
           18.6,       14.36868,      -33.79411,        83.3882,       56.93917
           18.8,       14.61661,        -36.236,       79.02653,       54.69564
             19,       14.85092,      -38.13147,       84.01875,       48.81159
           19.2,       15.11037,       -40.2383,       84.75226,       42.23026
           19.4,       15.49172,       -43.9252,       79.49526,       41.80288
           19.6,        15.5863,      -45.42659,       79.06889,       42.75201
           19.8,       15.73948,      -46.75064,       80.71426,       40.24878
             20,       16.04608,      -48.31685,       82.88917,       44.28075
