Group Signal ,Hxy,Frame 102951,
Format,Mag/Phase,Scaling,Ratio
Signals,H:1,,H:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g/V,deg,(mm/s)/V,deg
Scaling,Mag,Phase,Mag,Phase
              5,       1.917165,       119.7592,       1419.527,       18.21154
            5.2,       2.035499,       117.3323,        1591.33,       15.48657
            5.4,       2.205955,       115.0744,       1920.518,       14.72489
            5.6,       2.343082,       112.4579,       2270.377,       12.00557
            5.8,       2.460472,       110.1742,        2735.54,       9.887404
              6,       2.787756,       105.9563,       4146.326,       6.800946
            6.2,       3.059066,       103.4619,       6167.079,       7.961381
            6.4,       3.564051,       96.25906,       13297.29,      -2.096869
            6.6,       2.997306,       82.54041,       17006.25,      -73.75707
            6.8,       2.510398,       97.56377,       13470.31,      -146.5956
              7,       3.195589,       97.79931,       7405.622,      -179.6764
            7.2,       3.566013,       92.56287,       4506.265,       177.1216
            7.4,       3.778268,       87.86655,       3522.049,       172.4323
            7.6,       3.945651,       82.14712,       2854.719,       165.6633
            7.8,       3.996427,       78.04793,       2330.958,       157.2273
              8,       3.886392,       75.71475,        1680.24,       157.7316
            8.2,       3.982885,       76.28345,        1448.36,        160.082
            8.4,       4.176413,       76.61686,       1322.709,       158.9603
            8.6,       4.472746,       75.50983,       1186.691,       158.2171
            8.8,       4.637777,       73.52949,       1123.796,       158.8251
              9,       5.091839,       69.87315,       1016.269,       153.3739
            9.2,       5.149745,       67.60265,       991.1783,       152.9282
            9.4,       5.566467,       65.48894,       948.8962,       150.7894
            9.6,       5.896999,       62.76952,       873.7523,       147.2285
            9.8,       6.131303,       59.41503,       829.2713,       144.9774
             10,       6.436005,       57.05663,       815.7955,       141.9066
           10.2,       6.889911,       52.99082,       778.7963,        138.213
           10.4,       7.210665,        48.2014,       730.5733,       134.2569
           10.6,       7.540616,       46.29983,       718.5239,       131.2446
           10.8,       7.703847,        41.0043,       682.4859,       127.0793
             11,       8.129926,       34.74335,       660.3605,       121.1301
           11.2,       8.333439,       28.27718,       626.3395,       114.5845
           11.4,       8.213798,       22.41272,       583.6434,       109.9553
           11.6,       7.677193,       16.62938,       510.4816,       105.6148
           11.8,       6.817771,       11.96643,       423.7671,       101.4983
             12,       6.450029,       12.32481,       391.9885,       101.7269
           12.2,       6.120317,       15.16751,       355.5346,       104.6918
           12.4,        5.88602,       19.05989,       320.9568,       107.7805
           12.6,       6.026089,       20.53549,       318.5075,       109.3285
           12.8,       6.282316,       21.53938,       318.4871,       108.7857
             13,       6.652479,       22.36221,       327.3846,        107.921
           13.2,       6.910887,       21.94995,       319.4217,       108.4666
           13.4,       7.258033,       20.75844,       297.2791,       103.8579
           13.6,       7.622465,       19.58164,       295.8769,       104.0942
           13.8,       7.838476,       19.34921,       307.3333,       101.4255
             14,        8.38707,       17.06329,       295.4423,       98.68919
           14.2,       8.577808,       15.55582,       296.0827,       98.16976
           14.4,        9.01418,       13.78881,       292.7108,       96.43243
           14.6,         9.3288,       11.33673,       280.5669,       94.96769
           14.8,       9.509298,       9.672537,       271.9883,       93.73687
             15,       9.986703,       6.070923,       265.6277,       90.79999
           15.2,       10.19812,       5.262821,        264.382,       90.17372
           15.4,       10.56146,       2.556362,       260.4085,       87.68539
           15.6,       10.81005,      0.2694012,       253.8048,       86.02762
           15.8,       11.04846,       -2.20218,       252.7535,       83.96051
             16,       11.44066,      -4.041343,       251.1252,        81.3502
           16.2,       11.70307,      -6.496843,       247.0914,       79.47011
           16.4,       11.85914,       -8.49841,        241.878,       77.77277
           16.6,       12.27723,      -11.54816,       235.7241,        74.8218
           16.8,       12.54758,      -12.97884,        235.577,       73.23366
             17,       12.79955,      -15.14594,       231.3144,        71.2093
           17.2,       13.12769,      -17.93492,       225.6635,       68.59132
           17.4,       13.48569,      -20.12855,       226.4465,       66.19223
           17.6,       13.68425,      -22.15101,       223.7938,       64.62273
           17.8,        13.9295,       -24.6899,       221.0457,       62.11903
             18,       14.34841,      -26.64226,       220.0726,       59.71747
           18.2,       14.62291,      -29.16892,       216.0735,       57.76508
           18.4,        14.8273,      -31.28834,       212.9195,       56.26216
           18.6,        15.1728,      -33.58189,       211.2818,       53.54581
           18.8,       15.38165,      -35.90801,       207.7784,       51.34384
             19,       15.73225,      -38.26925,        205.546,       48.57763
           19.2,       15.86975,      -40.53341,         202.69,       47.08709
           19.4,       16.21893,      -42.50977,        203.722,        44.0655
           19.6,       16.45793,      -44.52219,       208.2733,       45.69883
           19.8,       16.75373,      -47.26699,       193.7171,       41.09551
             20,       16.91268,      -47.94199,       196.3568,       39.44569
