Group Signal ,Sx,Frame 102951,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
        6.00168,     0.09961166,              0,       134.8006,      -98.82571
       6.003516,     0.09943433,              0,       142.0438,      -106.0291
       6.005352,     0.09909242,              0,       138.6592,      -99.95037
       6.007187,     0.09760641,              0,       142.2935,      -100.4694
       6.009024,     0.09833527,              0,       136.5486,      -100.4513
       6.010859,     0.09822562,              0,       139.5435,      -98.39732
       6.012695,     0.09884324,              0,       140.5254,      -97.07909
       6.014493,      0.1001365,              0,       140.3508,      -101.4288
       6.016328,       0.101405,              0,       133.6655,       -98.7551
       6.018164,      0.1005996,              0,       142.0647,      -101.3631
           6.02,       0.101824,              0,       141.4783,      -102.4784
       6.021836,     0.09973668,              0,       143.1394,      -101.0252
       6.023672,     0.09999751,              0,       143.1311,      -101.5184
       6.025508,     0.09987708,              0,       143.2996,       -101.219
       6.027344,      0.1000044,              0,         142.22,      -101.1869
       6.029141,     0.09992929,              0,       143.2666,      -101.4049
       6.030977,     0.09955402,              0,       142.0469,      -101.3759
       6.032813,       0.099846,              0,        144.166,      -100.5329
       6.034648,      0.0997085,              0,       144.8437,      -101.7465
       6.036484,     0.09938338,              0,       142.2332,      -101.3422
       6.038321,      0.1002488,              0,       143.4447,      -100.5107
       6.040156,       0.100251,              0,       145.8725,      -102.6657
       6.041992,      0.1007969,              0,        144.397,      -101.3021
       6.043828,       0.100133,              0,       147.5578,      -101.7489
       6.045625,     0.09957194,              0,        146.083,      -102.9532
       6.047481,     0.09961329,              0,       143.3866,      -100.4771
       6.049316,     0.09975532,              0,       149.6193,       -100.853
       6.051152,      0.1000347,              0,       147.2404,      -102.0327
       6.052949,     0.09887263,              0,       145.9151,      -101.0877
       6.054785,      0.1000629,              0,       147.8669,      -100.1404
       6.056621,      0.1006635,              0,       149.8313,      -101.0263
       6.058457,      0.1001308,              0,       148.4221,      -102.3662
       6.060293,     0.09956592,              0,       143.9954,       -101.797
       6.062129,     0.09924378,              0,       147.1014,      -99.87458
       6.063965,     0.09960789,              0,       152.3156,       -101.124
       6.065801,      0.1009989,              0,       149.6808,      -101.7477
       6.067598,     0.09882341,              0,       148.5929,      -101.1017
       6.069434,     0.09972326,              0,       148.4755,      -100.7917
        6.07127,     0.09995875,              0,       153.7386,       -100.226
       6.073105,     0.09873136,              0,        154.076,      -102.1688
       6.074942,      0.1001213,              0,       146.9291,      -101.1029
       6.076777,     0.09845006,              0,       153.2459,      -100.3224
       6.078613,      0.1005284,              0,       153.2405,      -101.0074
       6.080449,       0.101398,              0,       150.7591,      -102.3423
       6.082285,      0.1002507,              0,       152.6462,      -99.68099
       6.084082,     0.09965184,              0,       154.7149,      -101.3448
       6.085918,      0.1002145,              0,       153.3874,      -101.5124
       6.087754,     0.09999289,              0,       152.5787,      -102.1341
        6.08959,      0.1002556,              0,       154.6094,      -100.6649
       6.091426,     0.09947994,              0,       157.4893,        -102.51
       6.093262,      0.1003653,              0,       152.7195,      -102.5245
       6.095098,     0.09821003,              0,        154.464,      -101.0853
       6.096934,     0.09955826,              0,       156.5538,      -101.4986
       6.098731,     0.09997518,              0,       155.6294,      -101.7215
       6.100566,      0.1001504,              0,       155.0862,      -100.5626
       6.102402,      0.1008579,              0,       158.0403,      -100.4066
       6.104239,      0.1004561,              0,       161.3054,       -101.453
       6.106074,     0.09900136,              0,       157.5609,      -103.5417
        6.10791,     0.09821154,              0,       151.3727,      -101.8285
       6.109746,     0.09608888,              0,       158.3447,      -100.0493
       6.111582,      0.1009518,              0,       162.8668,      -99.81165
       6.113379,     0.09984124,              0,       166.7526,      -103.4173
       6.115215,      0.1012625,              0,       154.7155,      -103.1218
       6.117051,     0.09975248,              0,       157.3673,      -100.3309
       6.118887,      0.1004491,              0,       162.7659,      -100.7259
       6.120723,      0.1009009,              0,       159.9416,      -101.2091
       6.122559,     0.09975853,              0,       161.7349,      -101.2396
       6.124394,     0.09992561,              0,       161.5957,      -101.0863
       6.126231,      0.0997547,              0,       162.8517,      -101.3605
       6.128067,     0.09969164,              0,       162.3356,      -100.8646
       6.129863,     0.09993576,              0,       164.5078,      -100.4982
       6.131699,      0.1001391,              0,       165.9789,      -100.9686
       6.133535,      0.0996464,              0,        164.717,      -102.3299
       6.135371,     0.09960466,              0,       162.4022,      -101.3464
       6.137207,      0.1000623,              0,       166.5798,      -100.3338
       6.139023,      0.1001068,              0,       167.5201,      -101.7702
        6.14086,     0.09971431,              0,       165.1986,      -102.1759
       6.142695,     0.09949431,              0,       163.2286,      -101.2373
       6.144531,     0.09966329,              0,       166.5789,      -100.4077
       6.146367,     0.09995265,              0,       170.2057,      -100.7924
       6.148203,       0.100181,              0,       171.7493,      -101.5799
       6.150039,     0.09990259,              0,       169.8049,      -102.3259
       6.151836,     0.09936888,              0,       165.8469,        -102.04
