Group Signal ,Xx,Frame 62091,
Format,Real,Scaling,EU
Signals,X:1,X:3
Chan,1,3
Chan Name,I_001,I_003
Point,0 X,0 X

sec,g,mm/s

              0,     0.09324653,       179.0374
    0.004882813,      0.1233327,       167.8369
    0.009765625,      0.1473638,       152.0447
     0.01464844,      0.1693303,       133.9758
     0.01953125,        0.18836,       114.1767
     0.02441406,      0.1990315,       90.88229
     0.02929688,      0.2015316,       64.84488
     0.03417969,      0.1960759,       35.85209
      0.0390625,      0.1922478,       5.581777
     0.04394531,      0.1862174,      -24.77235
     0.04882813,      0.1692785,      -54.46962
     0.05371094,      0.1475481,      -82.14296
     0.05859375,      0.1332982,      -106.7951
     0.06347656,       0.112068,      -128.0847
     0.06835938,     0.08862224,      -146.2788
     0.07324219,     0.06423378,      -160.7499
       0.078125,     0.03086501,      -170.7164
     0.08300781,   -0.000432958,      -177.9092
     0.08789063,    -0.02377351,      -181.3621
     0.09277344,    -0.05796663,      -179.1366
     0.09765625,     -0.0954793,      -171.4341
      0.1025391,     -0.1230193,       -160.257
      0.1074219,     -0.1454365,      -146.3501
      0.1123047,     -0.1699585,      -127.1708
      0.1171875,     -0.1871964,      -103.2053
      0.1220703,     -0.1981936,      -76.04402
      0.1269531,     -0.2038749,      -47.47898
      0.1318359,      -0.201212,      -18.13481
      0.1367188,     -0.1915614,       10.46001
      0.1416016,     -0.1799854,        38.5831
      0.1464844,     -0.1726889,       66.25261
      0.1513672,     -0.1509416,        92.6488
        0.15625,     -0.1273217,       117.5294
      0.1611328,     -0.1071389,       139.6185
      0.1660156,    -0.08349176,       157.0702
      0.1708984,    -0.05254531,       169.8395
      0.1757813,    -0.02104858,       179.3385
      0.1806641,     0.01034551,       184.5953
      0.1855469,     0.04620982,        185.413
      0.1904297,     0.07923024,        180.532
      0.1953125,      0.1086292,       171.1912
      0.2001953,      0.1381003,       157.0514
      0.2050781,      0.1658099,       139.7683
      0.2099609,      0.1812011,       121.0432
      0.2148438,      0.1892684,       98.68154
      0.2197266,      0.2023578,       74.52094
      0.2246094,       0.203468,       46.65043
      0.2294922,      0.1917122,       16.50172
       0.234375,      0.1875903,      -13.25903
      0.2392578,      0.1763864,      -43.42439
      0.2441406,      0.1555505,      -71.69418
      0.2490234,      0.1404745,      -97.12851
      0.2539063,      0.1235135,       -119.571
      0.2587891,     0.09319534,      -138.3536
      0.2636719,     0.06973617,      -154.6705
      0.2685547,     0.04902133,      -166.1693
      0.2734375,     0.01622609,      -173.9256
      0.2783203,      -0.017673,      -178.7542
      0.2832031,    -0.04934139,      -178.7941
      0.2880859,    -0.07876813,      -172.9056
      0.2929688,     -0.1085991,      -163.2321
      0.2978516,     -0.1399242,      -150.0182
      0.3027344,      -0.163508,      -133.4058
      0.3076172,     -0.1802751,      -111.3623
         0.3125,     -0.1954412,      -85.46829
      0.3173828,     -0.2007331,      -57.44596
      0.3222656,     -0.2006627,      -28.71558
      0.3271484,     -0.2010105,    -0.01313896
      0.3320313,     -0.1875214,       28.48539
      0.3369141,     -0.1684343,       56.14415
      0.3417969,     -0.1599194,       82.80817
      0.3466797,     -0.1420962,       108.9162
      0.3515625,     -0.1145211,        131.838
      0.3564453,    -0.08979169,       150.5183
      0.3613281,     -0.0673676,       165.2847
      0.3662109,    -0.03417679,       175.8598
      0.3710938,   -0.000833559,       182.9104
      0.3759766,     0.03142861,       185.7688
