Sig Name,Drive F,Frame 128552,
Format,Mag,Scaling,EU

Hz,V
        6.00168,      0.0719592
       6.003516,     0.07184888
       6.005352,     0.07184801
       6.007187,     0.07180259
       6.009024,      0.0717367
       6.010859,     0.07161776
       6.012695,     0.07165883
       6.014492,     0.07159136
       6.016328,     0.07152916
       6.018164,      0.0714689
           6.02,     0.07141118
       6.021816,     0.07139482
       6.023672,     0.07134517
       6.025508,     0.07123992
       6.027344,     0.07117302
        6.02914,     0.07116238
       6.030977,     0.07114016
       6.032813,     0.07100503
       6.034648,     0.07096828
       6.036484,     0.07098173
       6.038321,     0.07089819
       6.040156,     0.07081272
       6.041992,     0.07073508
       6.043828,     0.07070827
       6.045625,     0.07064757
       6.047481,     0.07057197
       6.049316,     0.07052246
       6.051152,      0.0705586
       6.052949,     0.07046673
       6.054785,     0.07033875
       6.056621,     0.07032152
       6.058457,     0.07031522
       6.060293,     0.07026027
       6.062129,     0.07015357
       6.063965,     0.07007107
       6.065801,     0.07011364
       6.067598,      0.0699629
       6.069434,     0.06993882
        6.07127,     0.06993218
       6.073105,     0.06981596
       6.074942,     0.06980478
       6.076777,     0.06976406
       6.078613,     0.06964318
       6.080449,     0.06960121
       6.082285,      0.0696617
       6.084082,     0.06947614
       6.085918,     0.06939751
       6.087754,      0.0694316
        6.08961,     0.06939373
       6.091426,     0.06930819
       6.093262,     0.06920616
       6.095098,      0.0692424
       6.096934,     0.06917325
       6.098731,     0.06901085
       6.100566,     0.06906355
       6.102402,     0.06906179
       6.104239,     0.06886692
       6.106074,     0.06885088
        6.10791,     0.06885566
       6.109746,     0.06877732
       6.111582,     0.06865072
       6.113359,     0.06868195
       6.115215,     0.06867175
       6.117051,     0.06851013
       6.118887,     0.06842639
       6.120723,     0.06837603
       6.122559,     0.06838503
       6.124394,     0.06834528
       6.126231,     0.06826723
       6.128067,      0.0681898
       6.129863,     0.06812681
       6.131699,     0.06808451
       6.133535,     0.06800137
       6.135371,     0.06791069
       6.137207,     0.06798171
       6.139023,     0.06797167
        6.14086,     0.06776931
       6.142695,     0.06774836
       6.144531,     0.06775576
       6.146367,     0.06772661
       6.148203,     0.06760333
       6.150039,     0.06747474
       6.151836,     0.06745531
       6.153672,     0.06748017
       6.155508,     0.06736001
       6.157324,      0.0672709
       6.159199,     0.06731845
       6.161016,     0.06725411
       6.162852,     0.06714647
       6.164688,     0.06708655
       6.166523,     0.06707575
        6.16832,     0.06705172
       6.170156,     0.06690542
       6.171992,     0.06681387
       6.173828,      0.0668685
       6.175664,     0.06683987
         6.1775,     0.06672837
       6.179336,     0.06661868
       6.181172,     0.06658181
       6.182969,     0.06658774
       6.184805,     0.06648888
       6.186641,     0.06642713
       6.188477,     0.06639658
       6.190312,      0.0663361
       6.192149,     0.06625617
       6.193985,     0.06614438
        6.19582,     0.06614594
       6.197656,     0.06618541
       6.199453,     0.06603698
       6.201289,     0.06595255
       6.203125,     0.06596232
       6.204961,     0.06590708
       6.206797,     0.06585272
       6.208633,     0.06576335
       6.210469,     0.06569046
       6.212305,     0.06561726
       6.214102,     0.06554949
       6.215938,      0.0656528
       6.217773,      0.0655468
       6.219609,     0.06535824
       6.221446,      0.0652992
       6.223281,      0.0653897
       6.225117,     0.06534033
       6.226953,      0.0652014
        6.22875,     0.06510439
       6.230586,     0.06508133
       6.232441,     0.06499467
       6.234277,     0.06501248
       6.236074,      0.0649662
        6.23791,     0.06478511
       6.239746,     0.06481969
       6.241582,     0.06478387
       6.243418,     0.06464925
       6.245254,     0.06463093
        6.24709,     0.06457856
       6.248926,     0.06450325
       6.250762,     0.06449696
       6.252559,     0.06442638
       6.254395,     0.06436423
        6.25623,     0.06423352
       6.258067,     0.06420362
       6.259902,     0.06425282
       6.261738,     0.06417394
       6.263574,     0.06404727
        6.26541,     0.06395804
       6.267207,     0.06389693
       6.269043,     0.06392709
       6.270879,     0.06384633
       6.272715,      0.0637483
       6.274551,      0.0636929
       6.276387,     0.06370285
       6.278223,     0.06372843
       6.280059,      0.0636329
       6.281895,     0.06344152
       6.283691,     0.06333196
       6.285527,     0.06337251
       6.287364,     0.06335901
       6.289199,      0.0633385
       6.291035,     0.06318626
       6.292871,      0.0630936
       6.294707,      0.0630465
       6.296543,     0.06306189
        6.29834,     0.06301506
       6.300176,     0.06294662
       6.302012,     0.06280212
       6.303848,     0.06276356
       6.305684,     0.06276672
       6.307519,     0.06267137
       6.309356,     0.06262226
       6.311192,     0.06260006
       6.312988,     0.06249572
       6.314824,     0.06242634
        6.31666,     0.06238821
